aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress
A321,3f9bbf59,2,1778305992,2026-05-09 13:53:12.000 PHT,0,0,0.0,0.0,14.498119,121.000656,0,13.0,0.0,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A321,3f9bbf59,2,1778306001,2026-05-09 13:53:21.000 PHT,1,9,9.0,0.0017354415734670266,14.498257,121.000885,0,11.1,0.0,61,1,24.652796908944637,15.344921072425203,0.0,-1.9000000000000004,-14.0,-1.5555555555555556,-0.21111111111111114,29.038371134625063,2.7587929284234967e-05
A321,3f9bbf59,2,1778306011,2026-05-09 13:53:31.000 PHT,2,19,10.0,0.0036637099884303894,14.498392,121.001144,0,11.1,0.0,59,1,52.53520186485458,30.356256903891797,0.0,0.0,-2.0,-0.2,0.0,31.666522451584076,5.76727359705939e-05
A321,3f9bbf59,2,1778306017,2026-05-09 13:53:37.000 PHT,3,25,6.0,0.004820671037408407,14.498543,121.001396,0,27.8,0.0,59,1,79.66400847032575,47.146714019056326,0.0,16.700000000000003,0.0,0.0,2.7833333333333337,31.90441446644737,8.79835521687435e-05
A321,3f9bbf59,2,1778306018,2026-05-09 13:53:38.000 PHT,4,26,1.0,0.005013497878904744,14.498694,121.001671,0,44.4,0.0,61,1,109.26883924924793,63.93717113422086,0.0,16.599999999999998,2.0,2.0,16.599999999999998,34.03476730729837,0.00012031831190185905
A321,3f9bbf59,2,1778306021,2026-05-09 13:53:41.000 PHT,5,29,3.0,0.0055919784033937525,14.49888,121.002022,0,63.0,0.0,61,1,147.05534164221268,84.61945605773987,0.0,18.6,0.0,0.0,6.2,43.0764022800132,0.00016124308465893838
A321,3f9bbf59,2,1778306023,2026-05-09 13:53:43.000 PHT,6,31,2.0,0.005977632086386425,14.499229,121.002647,0,88.9,0.0,61,1,214.33891260389274,123.42653905919687,0.0,25.900000000000006,0.0,0.0,12.950000000000003,77.67283082507716,0.00023503622388751865
A321,3f9bbf59,2,1778306029,2026-05-09 13:53:49.000 PHT,7,37,6.0,0.007134593135364443,14.500168,121.004356,0,137.0,0.0,59,1,398.31858168649023,227.8387193986068,0.0,48.099999999999994,-2.0,-0.3333333333333333,8.016666666666666,211.5429497265887,0.00043601278385292164
A321,3f9bbf59,2,1778306034,2026-05-09 13:53:54.000 PHT,8,42,5.0,0.008098727342846125,14.500929,121.005684,61,170.4,0.3,60,2,541.2817268184594,312.4581754563467,61.0,33.400000000000006,1.0,0.2,6.6800000000000015,166.12922612684284,0.0005938439969462451
A321,3f9bbf59,2,1778306036,2026-05-09 13:53:56.000 PHT,9,44,2.0,0.008484381025838797,14.501633,121.006973,61,185.2,0.3,60,2,680.0459896113067,390.73951194082423,0.0,14.799999999999983,0.0,0.0,7.3999999999999915,159.32194670209992,0.0007452079484112499
A321,3f9bbf59,2,1778306038,2026-05-09 13:53:58.000 PHT,10,46,2.0,0.00887003470883147,14.502139,121.007896,61,198.2,0.3,60,2,779.4091091108713,447.00422253865565,0.0,13.0,0.0,0.0,6.5,114.18732370275426,0.0008536917127678317
A321,3f9bbf59,2,1778306040,2026-05-09 13:54:00.000 PHT,11,48,2.0,0.009255688391824142,14.502698,121.008911,61,218.5,0.7,60,2,888.6759776897043,509.16227238953223,0.0,20.30000000000001,0.0,0.0,10.150000000000006,125.70946644476749,0.0009731220986720144
A321,3f9bbf59,2,1778306047,2026-05-09 13:54:07.000 PHT,12,55,7.0,0.010605476282298496,14.504793,121.012718,69,261.1,1.0,60,2,1298.5050221447848,742.1159654785938,8.0,42.60000000000002,0.0,0.0,6.085714285714289,471.4098438688998,0.0014209854232453464
A321,3f9bbf59,2,1778306049,2026-05-09 13:54:09.000 PHT,13,57,2.0,0.010991129965291169,14.505524,121.013977,69,272.2,1.0,60,2,1434.0372127313947,823.3995691292232,0.0,11.099999999999966,0.0,0.0,5.549999999999983,158.03805287325306,0.0015711296102822955
A321,3f9bbf59,2,1778306051,2026-05-09 13:54:11.000 PHT,14,59,2.0,0.011376783648283841,14.506469,121.015709,53,222.2,1.3,60,2,1620.4876599374454,928.478919949843,-16.0,-50.0,0.0,0.0,-25.0,214.0220025649697,0.0017744613965129756
A321,3f9bbf59,2,1778306053,2026-05-09 13:54:13.000 PHT,15,61,2.0,0.011762437331276514,14.50726,121.017105,61,288.9,4.2,60,2,1770.7668853474331,1016.4342284146933,8.0,66.69999999999999,0.0,0.0,33.349999999999994,174.12639095694345,0.0019398903228796897
A321,3f9bbf59,2,1778306056,2026-05-09 13:54:16.000 PHT,16,64,3.0,0.012340917855765523,14.508041,121.018433,84,300.0,9.4,59,2,1913.7252978459724,1103.2775860770555,23.0,11.100000000000023,-1.0,-0.3333333333333333,3.7000000000000077,167.26902129169545,0.002098804399342335
A321,3f9bbf59,2,1778306058,2026-05-09 13:54:18.000 PHT,17,66,2.0,0.012726571538758195,14.508703,121.019562,99,298.2,11.4,59,2,2035.2610908820666,1176.8887291916492,15.0,-1.8000000000000114,0.0,0.0,-0.9000000000000057,142.09005144694166,0.0022337971740106566
A321,3f9bbf59,2,1778306064,2026-05-09 13:54:24.000 PHT,18,72,6.0,0.013883532587736213,14.511108,121.023827,175,292.6,11.4,60,2,2494.38160878671,1444.3128971532424,76.0,-5.599999999999966,1.0,0.16666666666666666,-0.9333333333333277,531.326083072936,0.0027385839727855866
A321,3f9bbf59,2,1778306071,2026-05-09 13:54:31.000 PHT,19,79,7.0,0.015233320478210566,14.513591,121.028137,244,292.6,10.4,57,2,2958.340888090428,1720.4102813733937,69.0,0.0,-3.0,-0.42857142857142855,0.0,539.8965872043772,0.0032515131863265607
A321,3f9bbf59,2,1778306079,2026-05-09 13:54:39.000 PHT,20,87,8.0,0.016775935210181257,14.517315,121.033875,335,298.2,9.8,55,2,3576.0088649920112,2134.50076016293,91.0,5.599999999999966,-2.0,-0.25,0.6999999999999957,743.6321116591713,0.003958001508788882
A321,3f9bbf59,2,1778306082,2026-05-09 13:54:42.000 PHT,21,90,3.0,0.017354415734670267,14.518341,121.035332,358,300.0,10.4,55,2,3732.845543415185,2248.5869124823594,23.0,1.8000000000000114,0.0,0.0,0.6000000000000038,193.94292802294115,0.004142257153110974
A321,3f9bbf59,2,1778306086,2026-05-09 13:54:46.000 PHT,22,94,4.0,0.018125723100655612,14.519943,121.037704,404,298.2,11.1,54,3,3988.1751464865215,2426.7214310166823,46.0,-1.8000000000000114,-1.0,-0.25,-0.45000000000000284,311.32949143728956,0.004438036002208589
A321,3f9bbf59,2,1778306088,2026-05-09 13:54:48.000 PHT,23,96,2.0,0.018511376783648285,14.52104,121.039268,427,296.3,10.1,54,3,4156.527673620645,2548.702434032786,23.0,-1.8999999999999773,0.0,0.0,-0.9499999999999886,207.9001448059667,0.004635551712249578
A321,3f9bbf59,2,1778306090,2026-05-09 13:54:50.000 PHT,24,98,2.0,0.018897030466640957,14.521866,121.040497,450,294.5,9.1,54,3,4288.819800076486,2640.549570305637,23.0,-1.8000000000000114,0.0,0.0,-0.9000000000000057,161.0507434362194,0.0047885581085275715
A321,3f9bbf59,2,1778306092,2026-05-09 13:54:52.000 PHT,25,100,2.0,0.01928268414963363,14.522902,121.041969,472,294.5,8.1,54,3,4447.267835126632,2755.747673427554,22.0,0.0,0.0,0.0,0.0,195.9001494562347,0.00497467321274309
A321,3f9bbf59,2,1778306094,2026-05-09 13:54:54.000 PHT,26,102,2.0,0.019668337832626302,14.523788,121.043198,488,294.5,7.5,54,3,4579.55824166258,2854.2665145146266,16.0,0.0,0.0,0.0,0.0,164.94577340921725,0.005131380085571813
A321,3f9bbf59,2,1778306097,2026-05-09 13:54:57.000 PHT,27,105,3.0,0.02024681835711531,14.524671,121.044472,503,294.5,6.5,54,3,4716.692297541663,2952.45177036074,15.0,0.0,0.0,0.0,0.0,168.66065640399725,0.005291616286160831
A321,3f9bbf59,2,1778306099,2026-05-09 13:54:59.000 PHT,28,107,2.0,0.020632472040107982,14.525648,121.045868,518,296.3,6.2,54,3,4866.957767791557,3061.0893637491095,15.0,1.8000000000000114,0.0,0.0,0.9000000000000057,185.42453061928063,0.005467779019758086
A321,3f9bbf59,2,1778306105,2026-05-09 13:55:05.000 PHT,29,113,6.0,0.021789433089086,14.528503,121.049965,564,300.0,6.5,54,3,5307.955252341512,3378.551317815591,46.0,3.6999999999999886,0.0,0.0,0.6166666666666648,543.3823293085919,0.005984019865560674
A321,3f9bbf59,2,1778306114,2026-05-09 13:55:14.000 PHT,30,122,9.0,0.023524874662553028,14.532119,121.055214,625,301.9,7.2,54,3,5872.9452421326405,3780.6327279401667,61.0,1.8999999999999773,0.0,0.0,0.21111111111110858,693.4610978958158,0.006642843173570051
A321,3f9bbf59,2,1778306122,2026-05-09 13:55:22.000 PHT,31,130,8.0,0.025067489394523718,14.535936,121.060806,693,301.9,7.8,55,3,6474.84529646957,4205.064349191639,68.0,0.0,1.0,0.125,0.0,736.4992506670908,0.00734255491535808
A321,3f9bbf59,2,1778306131,2026-05-09 13:55:31.000 PHT,32,139,9.0,0.026802930967990746,14.539307,121.06588,754,300.0,8.5,55,3,7020.982420064819,4579.902964658794,61.0,-1.8999999999999773,0.0,0.0,-0.21111111111110858,662.399125373863,0.007971867769857803
A321,3f9bbf59,2,1778306137,2026-05-09 13:55:37.000 PHT,33,145,6.0,0.027959892016968763,14.542128,121.070107,815,298.2,8.8,55,3,7475.946603599823,4893.584285997595,61.0,-1.8000000000000114,0.0,0.0,-0.3000000000000019,552.6215173929022,0.008496886314186663
A321,3f9bbf59,2,1778306144,2026-05-09 13:55:44.000 PHT,34,152,7.0,0.029309679907443115,14.544735,121.074249,869,296.3,6.8,57,3,7921.759175789835,5183.469860166405,54.0,-1.8999999999999773,2.0,0.2857142857142857,-0.2714285714285682,531.7726943560481,0.00900209741639235
A321,3f9bbf59,2,1778306146,2026-05-09 13:55:46.000 PHT,35,154,2.0,0.029695333590435788,14.545578,121.07592,884,294.5,5.5,61,3,8101.614915871252,5277.207312803273,15.0,-1.8000000000000114,4.0,2.0,-0.9000000000000057,202.8137175666467,0.009194780761892738
A321,3f9bbf59,2,1778306148,2026-05-09 13:55:48.000 PHT,36,156,2.0,0.03008098727342846,14.546127,121.077339,892,296.3,4.6,68,3,8254.349564568807,5338.253411851662,8.0,1.8000000000000114,7.0,3.5,0.9000000000000057,164.4766269444211,0.009351041921722108
A321,3f9bbf59,2,1778306150,2026-05-09 13:55:50.000 PHT,37,158,2.0,0.030466640956421133,14.54655,121.07888,899,296.3,4.6,73,3,8420.218600524333,5385.288930790399,7.0,0.0,5.0,2.5,0.0,172.3993010253468,0.009514830024825028
A321,3f9bbf59,2,1778306152,2026-05-09 13:55:52.000 PHT,38,160,2.0,0.030852294639413805,14.54686,121.080841,914,298.2,4.9,79,3,8631.29928601979,5419.759405662577,15.0,1.8999999999999773,6.0,3.0,0.9499999999999886,213.85975956838266,0.009718007671958306
A321,3f9bbf59,2,1778306154,2026-05-09 13:55:54.000 PHT,39,162,2.0,0.031237948322406478,14.546923,121.082344,922,298.2,5.2,85,3,8793.084438046399,5426.764695717403,8.0,0.0,6.0,3.0,0.0,161.92014985030937,0.00987184004854215
A321,3f9bbf59,2,1778306157,2026-05-09 13:55:57.000 PHT,40,165,3.0,0.031816428846895485,14.546814,121.084251,937,300.0,6.5,93,3,8998.360526811313,5414.644431971768,15.0,1.8000000000000114,8.0,2.6666666666666665,0.6000000000000038,205.60880188781857,0.01006717886628781
A321,3f9bbf59,2,1778306159,2026-05-09 13:55:59.000 PHT,41,167,2.0,0.03220208252988816,14.546585,121.08577,953,300.0,7.5,98,3,9161.87396787785,5389.1807585984,16.0,0.0,5.0,2.5,0.0,165.46187037893466,0.010224376057483164
A321,3f9bbf59,2,1778306161,2026-05-09 13:56:01.000 PHT,42,169,2.0,0.03258773621288083,14.546225,121.087402,968,301.9,8.1,101,3,9337.553939061325,5349.150529714489,15.0,1.8999999999999773,3.0,1.5,0.9499999999999886,180.15683391521026,0.010395534211330097
A321,3f9bbf59,2,1778306163,2026-05-09 13:56:03.000 PHT,43,171,2.0,0.032973389895873506,14.545805,121.089233,991,300.0,8.1,103,3,9534.656358715609,5302.448596016357,23.0,-1.8999999999999773,2.0,1.0,-0.9499999999999886,202.53020833856425,0.010587948208646338
A321,3f9bbf59,2,1778306165,2026-05-09 13:56:05.000 PHT,44,173,2.0,0.033359043578866175,14.545395,121.090691,1006,300.0,6.2,105,3,9691.608214846372,5256.85861312036,15.0,0.0,2.0,1.0,0.0,163.4143324272508,0.01074320013466287
A321,3f9bbf59,2,1778306167,2026-05-09 13:56:07.000 PHT,45,175,2.0,0.03374469726185885,14.544891,121.092491,1013,301.9,4.9,105,3,9885.376290993388,5200.816292682814,7.0,1.8999999999999773,0.0,0.0,0.9499999999999886,201.67920295968364,0.010934805633592467
A321,3f9bbf59,2,1778306170,2026-05-09 13:56:10.000 PHT,46,178,3.0,0.03432317778634786,14.544342,121.094246,1029,305.6,4.6,106,3,10074.301901715913,5139.7701936347785,16.0,3.7000000000000455,1.0,0.3333333333333333,1.2333333333333485,198.5127860115534,0.01112340287539757
A321,3f9bbf59,2,1778306172,2026-05-09 13:56:12.000 PHT,47,180,2.0,0.034708831469340534,14.54399,121.095406,1036,307.4,4.2,107,3,10199.175816267969,5100.629525392364,7.0,1.7999999999999545,1.0,0.5,0.8999999999999773,130.84427542095077,0.01124771159095276
A321,3f9bbf59,2,1778306174,2026-05-09 13:56:14.000 PHT,48,182,2.0,0.0350944851523332,14.543335,121.097366,1044,311.1,3.9,108,3,10410.171540599245,5027.796747839653,8.0,3.7000000000000455,1.0,0.5,1.8500000000000227,223.1775095073702,0.011459741574369407
A321,3f9bbf59,2,1778306176,2026-05-09 13:56:16.000 PHT,49,184,2.0,0.03548013883532588,14.542826,121.098923,1052,314.8,3.9,108,3,10577.784134646185,4971.198452000509,8.0,3.6999999999999886,0.0,0.0,1.8499999999999943,176.88298010061575,0.011627789400605151
A321,3f9bbf59,2,1778306178,2026-05-09 13:56:18.000 PHT,50,186,2.0,0.03586579251831855,14.542268,121.100655,1067,318.5,4.2,108,3,10764.235905346506,4909.151597230306,15.0,3.6999999999999886,0.0,0.0,1.8499999999999943,196.47409771362194,0.011814449784852537
A321,3f9bbf59,2,1778306181,2026-05-09 13:56:21.000 PHT,51,189,3.0,0.036444273042807555,14.541687,121.102341,1067,320.4,3.6,109,3,10945.737110756394,4844.547255614521,0.0,1.8999999999999773,1.0,0.3333333333333333,0.6333333333333258,192.62580325609852,0.011997454093665563
A321,3f9bbf59,2,1778306183,2026-05-09 13:56:23.000 PHT,52,191,2.0,0.03682992672580023,14.540964,121.10437,1082,324.1,3.3,109,3,11164.164170726175,4764.153212605741,15.0,3.7000000000000455,0.0,0.0,1.8500000000000227,232.7152101312958,0.012218545377701558
A321,3f9bbf59,2,1778306185,2026-05-09 13:56:25.000 PHT,53,193,2.0,0.03721558040879291,14.540405,121.106056,1090,329.7,4.6,109,3,11345.665871363612,4701.995162755218,8.0,5.599999999999966,0.0,0.0,2.799999999999983,191.82019658771097,0.0124007843192116
A321,3f9bbf59,2,1778306187,2026-05-09 13:56:27.000 PHT,54,195,2.0,0.037601234091785576,14.53994,121.107353,1097,333.4,5.5,110,3,11485.292064794834,4650.289450446597,7.0,3.6999999999999886,1.0,0.5,1.8499999999999943,148.86872469280223,0.012542217178183573
A321,3f9bbf59,2,1778306189,2026-05-09 13:56:29.000 PHT,55,197,2.0,0.03798688777477825,14.539169,121.109352,1113,337.1,5.5,110,3,11700.49281143012,4564.558043586369,16.0,3.7000000000000455,0.0,0.0,1.8500000000000227,231.61145195772556,0.012762259835824578
A321,3f9bbf59,2,1778306192,2026-05-09 13:56:32.000 PHT,56,200,3.0,0.03856536829926726,14.538528,121.111099,1120,338.9,4.2,110,3,11888.564431786053,4493.281997156718,7.0,1.7999999999999545,0.0,0.0,0.5999999999999849,201.09268674957215,0.012953308114528096
A321,3f9bbf59,2,1778306194,2026-05-09 13:56:34.000 PHT,57,202,2.0,0.03895102198225993,14.537842,121.112999,1128,344.5,2.9,110,3,12093.107435035245,4417.002172116577,8.0,5.600000000000023,0.0,0.0,2.8000000000000114,218.26879843452267,0.013160674572799801
A321,3f9bbf59,2,1778306196,2026-05-09 13:56:36.000 PHT,58,204,2.0,0.039336675665252605,14.5371,121.115067,1135,346.3,2.9,110,3,12315.736936542025,4334.495422583494,7.0,1.8000000000000114,0.0,0.0,0.9000000000000057,237.3885603845093,0.013386205777233137
A321,3f9bbf59,2,1778306204,2026-05-09 13:56:44.000 PHT,59,212,8.0,0.040879290397223295,14.534353,121.122437,1166,363.0,4.6,111,3,13109.159692148416,4029.042537181619,31.0,16.69999999999999,1.0,0.125,2.0874999999999986,850.0522878931084,0.014193798678969085
A321,3f9bbf59,2,1778306211,2026-05-09 13:56:51.000 PHT,60,219,7.0,0.04222907828769765,14.532259,121.128075,1196,372.3,3.9,110,3,13716.129130609115,3796.200039172877,30.0,9.300000000000011,-1.0,-0.14285714285714285,1.3285714285714303,649.9937680793784,0.0148113258131817
A321,3f9bbf59,2,1778306220,2026-05-09 13:57:00.000 PHT,61,228,9.0,0.043964519861164675,14.529372,121.13607,1234,388.9,4.6,109,3,14576.85293767175,3475.179842538646,38.0,16.599999999999966,-1.0,-0.1111111111111111,1.8444444444444406,918.493946000344,0.015683941770625712
A321,3f9bbf59,2,1778306226,2026-05-09 13:57:06.000 PHT,62,234,6.0,0.04512148091014269,14.527278,121.141853,1250,403.7,3.9,110,3,15199.444963992806,3242.33734452955,16.0,14.800000000000011,1.0,0.16666666666666666,2.4666666666666686,664.6020303534377,0.016315347496881728
A321,3f9bbf59,2,1778306234,2026-05-09 13:57:14.000 PHT,63,242,8.0,0.04666409564211338,14.523972,121.150551,1280,424.1,3.3,111,3,16135.87977410008,2874.7264092775063,30.0,20.400000000000034,1.0,0.125,2.5500000000000043,1005.842858900743,0.01727094936358969
A321,3f9bbf59,2,1778306241,2026-05-09 13:57:21.000 PHT,64,249,7.0,0.04801388353258774,14.521133,121.1577,1311,440.8,5.5,112,3,16905.562904668113,2559.0435764947224,31.0,16.69999999999999,1.0,0.14285714285714285,2.385714285714284,831.76879381276,0.018061172016167415
A321,3f9bbf59,2,1778306250,2026-05-09 13:57:30.000 PHT,65,258,9.0,0.049749325106054766,14.517455,121.166962,1356,457.4,4.2,112,3,17902.752710517896,2150.068071395641,45.0,16.599999999999966,0.0,0.0,1.8444444444444406,1077.6201019816365,0.019084965913935
A321,3f9bbf59,2,1778306256,2026-05-09 13:57:36.000 PHT,66,264,6.0,0.05090628615503278,14.514662,121.174141,1394,470.4,10.4,111,3,18675.686034045713,1839.5002123033116,38.0,13.0,-1.0,-0.16666666666666666,2.1666666666666665,832.8575060421416,0.019876222898495596
A321,3f9bbf59,2,1778306265,2026-05-09 13:57:45.000 PHT,67,273,9.0,0.05264172772849981,14.510891,121.184067,1509,470.4,13.3,111,3,19744.389511772486,1420.1835647426471,115.0,0.0,0.0,0.0,0.0,1147.8364137397223,0.020966725863187118
A321,3f9bbf59,2,1778306273,2026-05-09 13:57:53.000 PHT,68,281,8.0,0.0541843424604705,14.507355,121.193596,1631,466.7,15.6,110,3,20770.362307357555,1026.997761036915,122.0,-3.6999999999999886,-1.0,-0.125,-0.4624999999999986,1098.5586865647256,0.022010412481111494
A321,3f9bbf59,2,1778306286,2026-05-09 13:58:06.000 PHT,69,294,13.0,0.05669109139992287,14.501906,121.208206,1783,468.6,11.1,111,3,22343.43172114694,421.09576884436234,152.0,1.900000000000034,1.0,0.07692307692307693,0.14615384615384877,1685.4547849384007,0.02361168023828304
A321,3f9bbf59,2,1778306299,2026-05-09 13:58:19.000 PHT,70,307,13.0,0.05919784033937524,14.496599,121.222664,1943,472.3,13.3,110,3,23900.168615385737,-169.01652195484067,160.0,3.6999999999999886,-1.0,-0.07692307692307693,0.2846153846153837,1664.5683555595926,0.02519310482539414
A321,3f9bbf59,2,1778306314,2026-05-09 13:58:34.000 PHT,71,322,15.0,0.06209024296182029,14.490646,121.239479,2126,472.3,12.7,109,3,25710.724989013353,-830.960834585293,183.0,0.0,-1.0,-0.06666666666666667,0.0,1927.4710943515515,0.02702430038391403
A321,3f9bbf59,2,1778306326,2026-05-09 13:58:46.000 PHT,72,334,12.0,0.06440416505977632,14.485519,121.254211,2294,474.1,11.4,109,3,27297.02863413099,-1401.0580109425407,168.0,1.8000000000000114,0.0,0.0,0.15000000000000094,1685.3817192293832,0.028625498724946356
A321,3f9bbf59,2,1778306339,2026-05-09 13:58:59.000 PHT,73,347,13.0,0.06691091399922869,14.480539,121.268486,2438,476.0,11.7,109,3,28834.15942511095,-1954.8095105055481,144.0,1.8999999999999773,0.0,0.0,0.1461538461538444,1633.5860982309764,0.030177488592035274
A321,3f9bbf59,2,1778306352,2026-05-09 13:59:12.000 PHT,74,360,13.0,0.06941766293868107,14.475449,121.283661,2583,479.7,11.1,108,3,30468.225919279685,-2520.7924688941557,145.0,3.6999999999999886,-1.0,-0.07692307692307693,0.2846153846153837,1729.0575692341297,0.03182018121164726
A321,3f9bbf59,2,1778306365,2026-05-09 13:59:25.000 PHT,75,373,13.0,0.07192441187813343,14.47039,121.298889,2728,483.4,8.8,108,3,32108.033636855005,-3083.3283797956874,145.0,3.6999999999999886,0.0,0.0,0.2846153846153837,1733.364083853891,0.03346696523914989
A321,3f9bbf59,2,1778306378,2026-05-09 13:59:38.000 PHT,76,386,13.0,0.07443116081758581,14.465057,121.314827,2819,500.0,7.5,108,3,33824.339686840416,-3676.3317426810763,91.0,16.600000000000023,0.0,0.0,1.2769230769230786,1815.5997801810313,0.03519187736014629
A321,3f9bbf59,2,1778306389,2026-05-09 13:59:49.000 PHT,77,397,11.0,0.0765522560740455,14.459656,121.32766,2896,511.2,6.8,117,3,35206.39717330754,-4276.8963710221815,77.0,11.199999999999989,9.0,0.8181818181818182,1.0181818181818172,1506.6211247501901,0.03662324404579973
A321,3f9bbf59,2,1778306391,2026-05-09 13:59:51.000 PHT,78,399,2.0,0.07693790975703818,14.458241,121.330116,2911,514.9,7.2,119,3,35470.93184433778,-4434.2374095530195,15.0,3.6999999999999886,2.0,1.0,1.8499999999999943,307.71338602224745,0.036915587410861
A321,3f9bbf59,2,1778306393,2026-05-09 13:59:53.000 PHT,79,401,2.0,0.07732356344003086,14.456543,121.332726,2934,516.7,7.5,122,3,35752.0712792558,-4623.046655789177,23.0,1.8000000000000682,3.0,1.5,0.9000000000000341,338.5649191391368,0.0372372413012955
A321,3f9bbf59,2,1778306395,2026-05-09 13:59:55.000 PHT,80,403,2.0,0.07770921712302352,14.455032,121.3349,2949,518.6,7.8,124,3,35986.25589720605,-4791.062422022203,15.0,1.8999999999999773,2.0,1.0,0.9499999999999886,288.1405846018423,0.03751098950965954
A321,3f9bbf59,2,1778306397,2026-05-09 13:59:57.000 PHT,81,405,2.0,0.0780948708060162,14.453445,121.337151,2964,520.4,8.1,125,3,36228.7385103362,-4967.529014352794,15.0,1.7999999999999545,1.0,0.5,0.8999999999999773,299.81208740513097,0.037795826239224894
A321,3f9bbf59,2,1778306399,2026-05-09 13:59:59.000 PHT,82,407,2.0,0.07848052448900887,14.451599,121.339684,2979,522.3,8.1,126,3,36501.60578940298,-5172.795132463863,15.0,1.8999999999999773,1.0,0.5,0.9499999999999886,341.3553708405769,0.03812013120068034
A321,3f9bbf59,2,1778306401,2026-05-09 14:00:01.000 PHT,83,409,2.0,0.07886617817200155,14.449954,121.341873,2995,524.1,8.5,127,3,36737.42162079724,-5355.711039448037,16.0,1.8000000000000682,1.0,0.5,0.9000000000000341,298.35413777938356,0.03840358280395922
A321,3f9bbf59,2,1778306403,2026-05-09 14:00:03.000 PHT,84,411,2.0,0.07925183185499421,14.448325,121.343994,3018,524.1,9.1,127,3,36965.91655345399,-5536.847825148512,23.0,0.0,0.0,0.0,0.0,291.49646508374855,0.03868051926943975
A321,3f9bbf59,2,1778306406,2026-05-09 14:00:06.000 PHT,85,414,3.0,0.07983031237948322,14.446695,121.346161,3033,526.0,9.8,128,3,37199.365904180166,-5718.095805929306,15.0,1.8999999999999773,1.0,0.3333333333333333,0.6333333333333258,295.462825923357,0.03896122397942172
A321,3f9bbf59,2,1778306408,2026-05-09 14:00:08.000 PHT,86,416,2.0,0.0802159660624759,14.444508,121.348907,3063,527.8,10.1,128,3,37495.203217076014,-5961.279446399984,30.0,1.7999999999999545,0.0,0.0,0.8999999999999773,382.8444166912233,0.03932494564430353
A321,3f9bbf59,2,1778306410,2026-05-09 14:00:10.000 PHT,87,418,2.0,0.08060161974546858,14.442902,121.351006,3078,529.7,10.1,128,3,37721.33306390785,-6139.858745254878,15.0,1.900000000000091,0.0,0.0,0.9500000000000455,288.05603591116665,0.039598613527111824
A321,3f9bbf59,2,1778306412,2026-05-09 14:00:12.000 PHT,88,420,2.0,0.08098727342846124,14.441296,121.35305,3094,529.7,9.8,128,3,37941.542800342875,-6318.438044110126,16.0,0.0,0.0,0.0,0.0,283.43405100742615,0.0398678902892169
A321,3f9bbf59,2,1778306414,2026-05-09 14:00:14.000 PHT,89,422,2.0,0.08137292711145391,14.439713,121.355125,3117,529.7,10.1,128,3,38165.08986333507,-6494.459856119793,23.0,0.0,0.0,0.0,0.0,284.4455617594702,0.04013812803797539
A321,3f9bbf59,2,1778306416,2026-05-09 14:00:16.000 PHT,90,424,2.0,0.08175858079444659,14.437912,121.357399,3139,531.5,8.8,128,3,38410.08344260646,-6694.722195620374,22.0,1.7999999999999545,0.0,0.0,0.8999999999999773,316.3333645681745,0.04043866082101242
A321,3f9bbf59,2,1778306418,2026-05-09 14:00:18.000 PHT,91,426,2.0,0.08214423447743927,14.436268,121.359512,3155,533.4,7.2,128,3,38637.730596295405,-6877.526907524228,16.0,1.8999999999999773,0.0,0.0,0.9499999999999886,291.87342267374765,0.04071595541537311
A321,3f9bbf59,2,1778306431,2026-05-09 14:00:31.000 PHT,92,439,13.0,0.08465098341689163,14.425002,121.374252,3216,555.6,4.9,128,3,40225.794420792954,-8130.2506814354465,61.0,22.200000000000045,0.0,0.0,1.7076923076923112,2022.0912030987233,0.042637044888978036
A321,3f9bbf59,2,1778306444,2026-05-09 14:00:44.000 PHT,93,452,13.0,0.087157732356344,14.413597,121.389336,3292,576.0,5.5,127,3,41850.991501723904,-9398.430571498702,76.0,20.399999999999977,-1.0,-0.07692307692307693,1.5692307692307674,2060.8391943964875,0.044594946924791525
A321,3f9bbf59,2,1778306457,2026-05-09 14:00:57.000 PHT,94,465,13.0,0.08966448129579638,14.402115,121.404655,3345,596.3,4.2,127,3,43501.58324243059,-10675.172482740198,53.0,20.299999999999955,0.0,0.0,1.561538461538458,2086.142141784601,0.04657688804737023
A321,3f9bbf59,2,1778306470,2026-05-09 14:01:10.000 PHT,95,478,13.0,0.09217123023524874,14.390507,121.420227,3399,614.9,4.9,127,3,45179.51562281682,-11965.92497409099,54.0,18.600000000000023,0.0,0.0,1.4307692307692326,2116.341656557925,0.0485875202447383
A321,3f9bbf59,2,1778306483,2026-05-09 14:01:23.000 PHT,96,491,13.0,0.09467797917470112,14.377938,121.436989,3467,631.5,4.2,127,3,46985.7793516305,-13363.535937546101,68.0,16.600000000000023,0.0,0.0,1.2769230769230786,2283.1708676491908,0.05075664867651267
