aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,is_attacked,attack_type,label,attack_k,attack_alpha,attack_direction,attack_start_bin,attack_duration,attack_end_bin,attack_effective_duration,attack_duration_scale,attack_envelope_type,attack_envelope_params,attack_envelope,attack_delta_altitude,attack_std_altitude,altitude_offset,bin_id
A320,3f9f05af,3,1778375789,2026-05-10 09:16:29.000 PHT,0,0,0.0,0.0,14.498783,120.999626,0.0,7.4,0.0,168,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A320,3f9f05af,3,1778375816,2026-05-10 09:16:56.000 PHT,1,27,27.0,0.0079646017699115,14.498577,120.999763,0.0,5.6,0.0,151,1,14.748583743523762,-22.906186528141436,0.0,-1.8000000000000007,-17.0,-0.6296296296296297,-0.0666666666666667,27.243606657369245,4.788048974219004e-05,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A320,3f9f05af,3,1778375830,2026-05-10 09:17:10.000 PHT,2,41,14.0,0.0120943952802359,14.498357,120.999901,0.0,11.1,0.0,149,1,29.604836078308143,-47.36910417934174,0.0,5.5,-2.0,-0.1428571428571428,0.3928571428571428,28.620666677852793,9.818115494111636e-05,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A320,3f9f05af,3,1778375838,2026-05-10 09:17:18.000 PHT,3,49,8.0,0.0144542772861356,14.498142,121.000031,0.0,13.0,0.0,146,1,43.599870651558,-71.27604642965169,0.0,1.9000000000000004,-3.0,-0.375,0.2375,27.702037018903304,0.0001468673335371,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A320,3f9f05af,3,1778375844,2026-05-10 09:17:24.000 PHT,4,55,6.0,0.0162241887905604,14.498019,121.000252,0.0,16.7,0.0,118,1,67.39142371349405,-84.95304129834481,0.0,3.6999999999999993,-28.0,-4.666666666666667,0.6166666666666666,27.44265379679915,0.0001950976475385,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A320,3f9f05af,3,1778375850,2026-05-10 09:17:30.000 PHT,5,61,6.0,0.0179941002949852,14.498055,121.000488,0.0,16.7,0.0,81,1,92.79776760554924,-80.9500184096708,0.0,0.0,-37.0,-6.166666666666667,0.0,25.719817379862583,0.000240300085957,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A320,3f9f05af,3,1778375857,2026-05-10 09:17:37.000 PHT,6,68,7.0,0.0200589970501474,14.498206,121.000732,0.0,16.7,0.0,59,1,119.0653085836102,-64.15956129450628,0.0,0.0,-22.0,-3.142857142857143,0.0,31.17542441384464,0.0002950907239085,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A320,3f9f05af,3,1778375863,2026-05-10 09:17:43.000 PHT,7,74,6.0,0.0218289085545722,14.498322,121.000946,0.0,16.7,0.0,61,1,142.10322440331942,-51.26093198734256,0.0,0.0,2.0,0.3333333333333333,0.0,26.403087348310148,0.0003414940055607,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A320,3f9f05af,3,1778375870,2026-05-10 09:17:50.000 PHT,8,81,7.0,0.0238938053097345,14.498451,121.001183,0.0,16.7,0.0,61,1,167.6171636263213,-36.91676663743952,0.0,0.0,0.0,0.0,0.0,29.269773479371445,0.0003929354724142,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A320,3f9f05af,3,1778375876,2026-05-10 09:17:56.000 PHT,9,87,6.0,0.0256637168141592,14.49859,121.001419,0.0,16.7,0.0,59,1,193.02342974304705,-21.460650484694785,0.0,0.0,-2.0,-0.3333333333333333,0.0,29.73841830515102,0.0004452005799866,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A320,3f9f05af,3,1778375883,2026-05-10 09:18:03.000 PHT,10,94,7.0,0.0277286135693215,14.498772,121.001724,0.0,22.2,0.0,59,1,225.85777427778325,-1.2231458824539163,0.0,5.5,0.0,0.0,0.7857142857142857,38.570155803058135,0.0005129874179229,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,1
A320,3f9f05af,3,1778375890,2026-05-10 09:18:10.000 PHT,11,101,7.0,0.0297935103244837,14.499172,121.002457,0.0,70.4,0.0,61,1,304.7677701659275,43.254886211055506,0.0,48.2,2.0,0.2857142857142857,6.885714285714286,90.58209135788324,0.0006721849482144,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,1
A320,3f9f05af,3,1778375897,2026-05-10 09:18:17.000 PHT,12,108,7.0,0.031858407079646,14.500103,121.004143,0.0,127.8,0.0,61,1,486.2709733315347,146.77750590826278,0.0,57.39999999999999,0.0,0.0,8.2,208.95099939271591,0.001039415187179,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,2
A320,3f9f05af,3,1778375902,2026-05-10 09:18:22.000 PHT,13,113,5.0,0.0333333333333333,14.501081,121.00589,0.0,163.0,0.0,61,1,674.3401934750901,255.52629437695168,0.0,35.2,0.0,0.0,7.040000000000001,217.2476087677701,0.0014212266717575,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,2
A320,3f9f05af,3,1778375903,2026-05-10 09:18:23.000 PHT,14,114,1.0,0.0336283185840707,14.501266,121.006256,0.0,163.0,0.0,61,1,713.7409987327993,276.0973842201512,0.0,0.0,0.0,0.0,0.0,44.44771395168459,0.0014993432860036,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,2
A320,3f9f05af,3,1778375905,2026-05-10 09:18:25.000 PHT,15,116,2.0,0.0342182890855457,14.501633,121.00692,0.0,179.6,0.3,60,1,785.222101468466,316.90597866594516,0.0,16.599999999999994,-1.0,-0.5,8.299999999999997,82.30988200157135,0.0016440024535809,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,3
A320,3f9f05af,3,1778375907,2026-05-10 09:18:27.000 PHT,16,118,2.0,0.0348082595870206,14.502045,121.007683,38.0,201.9,0.3,60,2,867.3606510591933,362.718351722228,38.0,22.30000000000001,0.0,0.0,11.150000000000006,94.05077352330213,0.0018092961738126,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,3
A320,3f9f05af,3,1778375909,2026-05-10 09:18:29.000 PHT,17,120,2.0,0.0353982300884955,14.502698,121.008766,38.0,214.8,0.7,60,2,983.9474577281418,435.3287391146531,0.0,12.900000000000006,0.0,0.0,6.450000000000003,137.34937115961483,0.0020506869426492,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,4
A320,3f9f05af,3,1778375911,2026-05-10 09:18:31.000 PHT,18,122,2.0,0.0359882005899705,14.503349,121.010017,38.0,229.6,0.3,60,2,1118.6195854177124,507.7167363464392,0.0,14.799999999999985,0.0,0.0,7.399999999999992,152.89431962126528,0.002319397873413,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,4
A320,3f9f05af,3,1778375913,2026-05-10 09:18:33.000 PHT,19,124,2.0,0.0365781710914454,14.503922,121.01104,38.0,240.8,0.7,60,2,1228.746745767144,571.4315173203747,0.0,11.200000000000015,0.0,0.0,5.6000000000000085,127.23063075859352,0.0025430050113204,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,5
A320,3f9f05af,3,1778375916,2026-05-10 09:18:36.000 PHT,20,127,3.0,0.0374631268436578,14.504606,121.012283,38.0,253.7,0.7,60,2,1362.5568206270757,647.4889522002298,0.0,12.899999999999975,0.0,0.0,4.299999999999993,153.91543715070554,0.0028135105505591,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,5
A320,3f9f05af,3,1778375918,2026-05-10 09:18:38.000 PHT,21,129,2.0,0.0380530973451327,14.505249,121.013412,38.0,263.0,0.3,60,2,1484.094261404645,718.987388790167,0.0,9.300000000000011,0.0,0.0,4.650000000000006,141.00875255423185,0.0030613326621886,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,6
A320,3f9f05af,3,1778375920,2026-05-10 09:18:40.000 PHT,22,131,2.0,0.0386430678466076,14.506119,121.014969,30.0,279.7,1.0,60,2,1651.7056097774016,815.7271085935411,-8.0,16.69999999999999,0.0,0.0,8.349999999999994,193.5259525160513,0.003401453465606,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,6
A320,3f9f05af,3,1778375922,2026-05-10 09:18:42.000 PHT,23,133,2.0,0.0392330383480825,14.506887,121.01638,23.0,288.9,2.6,60,2,1803.599544604912,901.1249302128105,-7.0,9.199999999999989,0.0,0.0,4.599999999999994,174.25458675711909,0.0037077049490709,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,7
A320,3f9f05af,3,1778375924,2026-05-10 09:18:44.000 PHT,24,135,2.0,0.0398230088495575,14.507353,121.017197,38.0,292.6,6.8,60,2,1891.549138220901,952.9418376017506,15.0,3.7000000000000455,0.0,0.0,1.8500000000000227,102.07925146619915,0.0038871086753905,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,7
A320,3f9f05af,3,1778375927,2026-05-10 09:18:47.000 PHT,25,138,3.0,0.0407079646017699,14.508591,121.01947,69.0,292.6,10.7,60,2,2136.2356267875903,1090.601346930531,31.0,0.0,0.0,0.0,0.0,280.75236091487096,0.0043805294146466,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,8
A320,3f9f05af,3,1778375931,2026-05-10 09:18:51.000 PHT,26,142,4.0,0.0418879056047197,14.510147,121.022263,114.0,287.1,10.4,60,2,2436.897602112536,1263.6208917740455,45.0,-5.5,0.0,0.0,-1.375,346.89176208340876,0.0049901897898301,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,9
A320,3f9f05af,3,1778375938,2026-05-10 09:18:58.000 PHT,27,149,7.0,0.043952802359882,14.512482,121.026436,183.0,290.8,8.5,59,2,2886.1103634244632,1523.2614041192835,69.0,3.6999999999999886,-1.0,-0.1428571428571428,0.5285714285714269,518.8511202618355,0.005902067796801,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,11
A320,3f9f05af,3,1778375947,2026-05-10 09:19:07.000 PHT,28,158,9.0,0.0466076696165191,14.515825,121.032188,267.0,294.5,10.1,59,2,3505.289679012362,1894.9865573399672,84.0,3.6999999999999886,0.0,0.0,0.4111111111111099,722.1951723930542,0.0071713218635812,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,14
A320,3f9f05af,3,1778375953,2026-05-10 09:19:13.000 PHT,29,164,6.0,0.0483775811209439,14.518341,121.036522,335.0,294.5,10.1,59,2,3971.82093244174,2174.75337920748,68.0,0.0,0.0,0.0,0.0,543.9877838455598,0.0081273774193623,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,16
A320,3f9f05af,3,1778375955,2026-05-10 09:19:15.000 PHT,30,166,2.0,0.0489675516224188,14.519073,121.037842,358.0,294.5,10.4,59,2,4113.910934529025,2256.1481779387827,23.0,0.0,0.0,0.0,0.0,163.75214088594657,0.0084151709116322,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,16
A320,3f9f05af,3,1778375957,2026-05-10 09:19:17.000 PHT,31,168,2.0,0.0495575221238938,14.520016,121.039413,381.0,292.6,10.1,59,3,4283.018258706991,2361.0051385987636,23.0,-1.8999999999999773,0.0,0.0,-0.9499999999999886,198.9789199178135,0.0087648752754434,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,17
A320,3f9f05af,3,1778375966,2026-05-10 09:19:26.000 PHT,32,177,9.0,0.0522123893805309,14.522964,121.044571,450.0,290.8,7.2,59,3,4838.237966109156,2688.808235127182,69.0,-1.8000000000000114,0.0,0.0,-0.2000000000000012,644.768082148125,0.0098980516544612,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,19
A320,3f9f05af,3,1778375974,2026-05-10 09:19:34.000 PHT,33,185,8.0,0.0545722713864306,14.526215,121.050438,518.0,294.5,5.9,60,3,5469.768434187521,3050.303440966602,68.0,3.6999999999999886,1.0,0.125,0.4624999999999986,727.674927248412,0.0111769363604384,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,22
A320,3f9f05af,3,1778375981,2026-05-10 09:19:41.000 PHT,34,192,7.0,0.0566371681415929,14.528503,121.054703,549.0,305.6,2.6,61,3,5928.853006767553,3304.7177845407123,31.0,11.100000000000025,1.0,0.1428571428571428,1.585714285714289,524.8667685543955,0.0120993868363921,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,24
A320,3f9f05af,3,1778375990,2026-05-10 09:19:50.000 PHT,35,201,9.0,0.05929203539823,14.531839,121.06105,572.0,329.7,0.3,61,3,6612.036283961003,3675.664572199866,23.0,24.09999999999997,0.0,0.0,2.677777777777774,777.3925954736753,0.013465650072437,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,26
A320,3f9f05af,3,1778375996,2026-05-10 09:19:56.000 PHT,36,207,6.0,0.0610619469026548,14.534775,121.066589,579.0,350.0,2.6,61,3,7208.238611871928,4002.1333277655112,7.0,20.30000000000001,0.0,0.0,3.383333333333335,679.7339424098463,0.0146602787596842,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,29
A320,3f9f05af,3,1778376005,2026-05-10 09:20:05.000 PHT,37,216,9.0,0.063716814159292,14.53831,121.073288,610.0,370.4,3.6,61,3,7929.289774119729,4395.207936390923,31.0,20.399999999999977,0.0,0.0,2.266666666666664,821.2312876525048,0.0161035882575394,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,32
A320,3f9f05af,3,1778376011,2026-05-10 09:20:11.000 PHT,38,222,6.0,0.0654867256637168,14.54143,121.079117,632.0,387.1,3.3,60,3,8556.687695400165,4742.136586719802,22.0,16.700000000000045,-1.0,-0.1666666666666666,2.7833333333333408,716.9291548696041,0.0173635873273147,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,34
A320,3f9f05af,3,1778376018,2026-05-10 09:20:18.000 PHT,39,229,7.0,0.067551622418879,14.544735,121.085144,640.0,407.4,0.7,60,3,9205.386170083975,5109.636326891526,8.0,20.299999999999955,0.0,0.0,2.8999999999999937,745.5652227750404,0.0186739141298623,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,37
A320,3f9f05af,3,1778376027,2026-05-10 09:20:27.000 PHT,40,238,9.0,0.0702064896755162,14.549103,121.093109,693.0,424.1,11.4,60,3,10062.660704909234,5595.336437351672,53.0,16.700000000000045,0.0,0.0,1.8555555555555605,985.305657687225,0.0204055834359545,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,40
A320,3f9f05af,3,1778376033,2026-05-10 09:20:33.000 PHT,41,244,6.0,0.071976401179941,14.552322,121.098969,762.0,426.0,12.7,60,3,10693.362719998404,5953.273400623344,69.0,1.8999999999999773,0.0,0.0,0.3166666666666629,725.1935437754828,0.0216801071240452,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,43
A320,3f9f05af,3,1778376041,2026-05-10 09:20:41.000 PHT,42,252,8.0,0.0743362831858407,14.556931,121.107452,884.0,426.0,15.3,61,3,11606.358898318063,6465.771525419633,122.0,0.0,1.0,0.125,0.0,1047.0042005378518,0.0235202112818522,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,47
A320,3f9f05af,3,1778376046,2026-05-10 09:20:46.000 PHT,43,257,5.0,0.075811209439528,14.55884,121.111496,945.0,424.1,15.6,66,3,12041.60188240726,6678.042933585529,61.0,-1.8999999999999773,5.0,1.0,-0.3799999999999954,484.2409986082006,0.0243712621892524,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,48
A320,3f9f05af,3,1778376048,2026-05-10 09:20:48.000 PHT,44,259,2.0,0.0764011799410029,14.559631,121.113564,975.0,424.1,15.6,70,3,12264.177893126274,6765.9982420500255,30.0,0.0,4.0,2.0,0.0,239.3163879406586,0.0247918594325631,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,49
A320,3f9f05af,3,1778376050,2026-05-10 09:20:50.000 PHT,45,261,2.0,0.0769911504424778,14.56041,121.116264,1021.0,422.3,15.0,74,3,12554.781204447994,6852.619209552103,46.0,-1.8000000000000114,4.0,2.0,-0.9000000000000057,303.22065532797143,0.0253247680764017,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,50
A320,3f9f05af,3,1778376052,2026-05-10 09:20:52.000 PHT,46,263,2.0,0.0775811209439528,14.560795,121.118149,1044.0,422.3,14.0,78,3,12757.669344399634,6895.429315442234,23.0,0.0,4.0,2.0,0.0,207.33849453503885,0.0256891643468955,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,51
A320,3f9f05af,3,1778376054,2026-05-10 09:20:54.000 PHT,47,265,2.0,0.0781710914454277,14.561168,121.120941,1082.0,422.3,13.0,82,3,13058.185760112005,6936.905080369237,38.0,0.0,4.0,2.0,0.0,303.3339161325231,0.0262222720459789,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,52
A320,3f9f05af,3,1778376057,2026-05-10 09:20:57.000 PHT,48,268,3.0,0.0790560471976401,14.561325,121.123322,1105.0,426.0,12.0,88,3,13314.46871549089,6954.3627079659655,23.0,3.6999999999999886,6.0,2.0,1.2333333333333296,256.8453714213278,0.0266736763819147,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,53
A320,3f9f05af,3,1778376059,2026-05-10 09:20:59.000 PHT,49,270,2.0,0.079646017699115,14.561279,121.125496,1128.0,427.8,11.4,92,3,13548.476519686892,6949.247734275157,23.0,1.8000000000000114,4.0,2.0,0.9000000000000057,234.02918640569848,0.0270849813974362,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,54
A320,3f9f05af,3,1778376061,2026-05-10 09:21:01.000 PHT,50,272,2.0,0.0802359882005899,14.561096,121.127823,1151.0,429.7,10.1,96,3,13798.9573630192,6928.899034592243,23.0,1.8999999999999773,4.0,2.0,0.9499999999999886,251.2651188964488,0.0275265784700704,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,55
A320,3f9f05af,3,1778376063,2026-05-10 09:21:03.000 PHT,51,274,2.0,0.0808259587020649,14.560609,121.13063,1181.0,431.5,11.1,100,3,14101.114702391797,6874.747030518714,30.0,1.8000000000000114,4.0,2.0,0.9000000000000057,306.9145743580599,0.0280659791564074,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,56
A320,3f9f05af,3,1778376066,2026-05-10 09:21:06.000 PHT,52,277,3.0,0.0817109144542772,14.560097,121.132698,1196.0,433.4,12.0,104,3,14323.728348565806,6817.815149438966,15.0,1.8999999999999773,4.0,1.3333333333333333,0.6333333333333258,229.73231042938053,0.0284697324358943,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,56
A320,3f9f05af,3,1778376068,2026-05-10 09:21:08.000 PHT,53,279,2.0,0.0823008849557522,14.559174,121.135345,1234.0,433.4,13.3,111,3,14608.6791044231,6715.182090383608,38.0,0.0,7.0,3.5,0.0,302.80505814086933,0.0290019106699489,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,58
A320,3f9f05af,3,1778376070,2026-05-10 09:21:10.000 PHT,54,281,2.0,0.0828908554572271,14.55835,121.137192,1257.0,435.2,14.3,115,3,14807.516226156416,6623.557344271042,23.0,1.8000000000000114,4.0,2.0,0.9000000000000057,218.88276130015467,0.0293865959261626,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,58
A320,3f9f05af,3,1778376072,2026-05-10 09:21:12.000 PHT,55,283,2.0,0.083480825958702,14.557022,121.139801,1295.0,435.2,14.6,119,3,15088.392630465534,6475.8902777209305,38.0,0.0,4.0,2.0,0.0,317.25521352776093,0.0299441702293014,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,59
A320,3f9f05af,3,1778376074,2026-05-10 09:21:14.000 PHT,56,285,2.0,0.084070796460177,14.555861,121.141617,1326.0,435.2,15.6,123,3,15283.90642241008,6346.792789569681,31.0,0.0,4.0,2.0,0.0,234.23544223345135,0.0303558377383125,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,60
A320,3f9f05af,3,1778376076,2026-05-10 09:21:16.000 PHT,57,287,2.0,0.0846607669616519,14.554459,121.143448,1356.0,435.2,14.6,128,3,15481.044279283831,6190.897287082289,30.0,0.0,5.0,2.5,0.0,251.2719732888392,0.0307974468575038,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,61
A320,3f9f05af,3,1778376079,2026-05-10 09:21:19.000 PHT,58,290,3.0,0.0855457227138643,14.552975,121.145134,1387.0,435.2,13.3,132,3,15662.578393384556,6025.883788015769,31.0,0.0,4.0,1.3333333333333333,0.0,245.2691016061848,0.0312285059625344,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,62
A320,3f9f05af,3,1778376081,2026-05-10 09:21:21.000 PHT,59,292,2.0,0.0861356932153392,14.550973,121.14711,1417.0,438.9,13.0,137,3,15875.348213944377,5803.2712373882905,30.0,3.6999999999999886,5.0,2.5,1.8499999999999943,307.87348753516784,0.0317695919335372,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,63
A320,3f9f05af,3,1778376083,2026-05-10 09:21:23.000 PHT,60,294,2.0,0.0867256637168141,14.549286,121.148514,1448.0,438.9,13.0,141,3,16026.537522266535,5615.685137034233,31.0,0.0,4.0,2.0,0.0,240.87974739189056,0.0321929367725355,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,64
A320,3f9f05af,3,1778376085,2026-05-10 09:21:25.000 PHT,61,296,2.0,0.087315634218289,14.547592,121.149796,1471.0,442.6,11.7,144,3,16164.595914524803,5427.320671118647,23.0,3.7000000000000455,3.0,1.5,1.8500000000000227,233.4951752196477,0.0326033032663174,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,65
A320,3f9f05af,3,1778376087,2026-05-10 09:21:27.000 PHT,62,298,2.0,0.087905604719764,14.545619,121.151154,1494.0,444.5,10.7,147,3,16310.846468705324,5207.9327778179595,23.0,1.8999999999999773,3.0,1.5,0.9499999999999886,263.6180395404563,0.0330666105294421,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,66
A320,3f9f05af,3,1778376089,2026-05-10 09:21:29.000 PHT,63,300,2.0,0.0884955752212389,14.543243,121.152634,1524.0,450.0,9.4,149,3,16470.245763178737,4943.733267183156,30.0,5.5,2.0,1.0,2.75,308.506433960967,0.0336088089003275,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,67
A320,3f9f05af,3,1778376091,2026-05-10 09:21:31.000 PHT,64,302,2.0,0.0890855457227138,14.541336,121.153809,1539.0,451.9,8.5,149,3,16596.797866764995,4731.684249177546,15.0,1.8999999999999773,0.0,0.0,0.9499999999999886,246.8988472982403,0.034042732274501,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,68
A320,3f9f05af,3,1778376094,2026-05-10 09:21:34.000 PHT,65,305,3.0,0.0899705014749262,14.538822,121.155205,1562.0,455.6,7.8,150,3,16747.16334573202,4452.139817470672,23.0,3.7000000000000455,1.0,0.3333333333333333,1.2333333333333485,317.3675645161577,0.0346005040338877,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,69
A320,3f9f05af,3,1778376096,2026-05-10 09:21:36.000 PHT,66,307,2.0,0.0905604719764011,14.53682,121.156357,1577.0,459.3,7.2,151,3,16871.245691746597,4229.5272668431935,15.0,3.6999999999999886,1.0,0.5,1.8499999999999943,254.8160017328621,0.0350483417636919,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,70
A320,3f9f05af,3,1778376098,2026-05-10 09:21:38.000 PHT,67,309,2.0,0.0911504424778761,14.535051,121.157326,1593.0,466.7,6.5,151,3,16975.621166388624,4032.823169910008,16.0,7.399999999999977,0.0,0.0,3.6999999999999886,222.6450004899816,0.0354396391347112,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,70
A320,3f9f05af,3,1778376100,2026-05-10 09:21:40.000 PHT,68,311,2.0,0.091740412979351,14.532303,121.158836,1608.0,470.4,5.9,152,3,17138.271574162238,3727.259089428167,15.0,3.6999999999999886,1.0,0.5,1.8499999999999943,346.10107348727104,0.0360479098790102,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,72
A320,3f9f05af,3,1778376102,2026-05-10 09:21:42.000 PHT,69,313,2.0,0.0923303834808259,14.53021,121.159927,1615.0,474.1,5.2,152,3,17255.79462836895,3494.5277864993914,7.0,3.7000000000000455,0.0,0.0,1.8500000000000227,260.6806387118084,0.0365060546762393,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,73
A320,3f9f05af,3,1778376104,2026-05-10 09:21:44.000 PHT,70,315,2.0,0.0929203539823008,14.528046,121.161064,1631.0,479.7,4.6,152,3,17378.2733237597,3253.9016328739403,16.0,5.599999999999966,0.0,0.0,2.799999999999983,269.96146226489213,0.0369805104701187,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,73
