sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,label
0,0,0.0,0.0,14.510193,121.018066,0,11.1,0.0,236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,11,11.0,0.0030311380545604,14.510204,121.017853,0,9.3,0.0,281,-22.929087306914305,1.2231458824539163,0.0,-1.799999999999999,45.0,4.090909090909091,-0.1636363636363635,22.96168832158957,3.394804275082103e-05,0
2,36,25.0,0.0099200881785615,14.510414,121.017715,0,13.0,0.0,317,-37.78453440282306,24.574112731519836,0.0,3.6999999999999993,36.0,1.44,0.1479999999999999,27.675842775746947,7.48657958601454e-05,0
3,40,4.0,0.0110223201984017,14.510674,121.017456,0,37.0,0.0,315,-65.66539159810692,53.48483359231864,0.0,24.0,-2.0,-0.5,6.0,40.164317993202175,0.0001342473171661,0
4,42,2.0,0.0115734362083218,14.51096,121.017166,0,61.1,0.0,315,-96.8833020701682,85.28662653930343,0.0,24.1,0.0,0.0,12.05,44.56357817435908,0.0002001329888034,0
5,44,2.0,0.0121245522182419,14.511322,121.0168,0,83.3,0.0,315,-136.28240015119042,125.53924558349976,0.0,22.199999999999996,0.0,0.0,11.099999999999998,56.325510499533415,0.0002834082607093,0
6,52,8.0,0.0143290162579222,14.513546,121.014488,0,177.8,0.0,315,-385.1627000498452,372.837104022818,0.0,94.5,0.0,0.0,11.812500000000002,350.8527601286982,0.0008021316373738,0
7,60,8.0,0.0165334802976026,14.516876,121.01104,30,251.9,0.7,315,-756.3255378159943,743.1167212007623,30.0,74.1,0.0,0.0,9.2625,524.2794203276568,0.0015772601873909,0
8,67,7.0,0.0184623863323229,14.520447,121.007347,76,285.2,9.4,315,-1153.8553992828026,1140.1943527148487,46.0,33.29999999999998,0.0,0.0,4.7571428571428545,561.8725073369201,0.0024079687847918,0
9,74,7.0,0.0203912923670432,14.523788,121.003937,145,287.1,13.7,315,-1520.9161178891056,1511.6971157748933,69.0,1.900000000000034,0.0,0.0,0.2714285714285763,522.2528350247683,0.0031801011002317,0
10,82,8.0,0.0225957564067236,14.528162,120.99942,259,288.9,14.0,314,-2007.1287157217912,1998.06439671625,114.0,1.7999999999999543,-1.0,-0.125,0.2249999999999943,687.7179002739209,0.0041968676529356,0
11,91,9.0,0.025075778451364,14.53244,120.994987,373,288.9,13.3,315,-2484.2902361120423,2473.7569499554193,114.0,0.0,1.0,0.1111111111111111,0.0,673.7703914960881,0.005193013308011,0
12,97,6.0,0.0267291264811242,14.53575,120.991615,457,288.9,12.7,315,-2847.240754437766,2841.8126655283872,84.0,0.0,0.0,0.0,0.0,516.9122996812483,0.0059572498311374,0
13,105,8.0,0.0289335905208046,14.540219,120.987038,556,294.5,8.8,315,-3339.884826838821,3338.7434790919656,99.0,5.600000000000023,0.0,0.0,0.7000000000000028,699.7418790902889,0.0069917934105641,0
14,112,7.0,0.0308624965555249,14.543518,120.983673,610,307.4,7.8,315,-3702.069163562324,3705.57604878248,54.0,12.899999999999975,0.0,0.0,1.8428571428571396,515.5034930171933,0.0077539470629456,0
15,121,9.0,0.0333425186001653,14.548598,120.978508,686,326.0,8.5,315,-4257.981844904732,4270.447056368953,76.0,18.600000000000023,0.0,0.0,2.066666666666669,792.5394853450653,0.0089256886158048,0
16,127,6.0,0.0349958666299256,14.55249,120.974487,739,338.9,7.8,315,-4690.756796809817,4703.218308637672,53.0,12.899999999999975,0.0,0.0,2.1499999999999964,612.0334910484936,0.009830558450638,0
