aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,is_attacked,attack_type,label,attack_k,attack_alpha,attack_direction,attack_start_bin,attack_duration,attack_end_bin,attack_effective_duration,attack_duration_scale,attack_envelope_type,attack_envelope_params,attack_envelope,attack_delta_speed,attack_std_speed,speed_offset,bin_id
A21N,3f97ce6c,1,1778225274,2026-05-08 15:27:54.000 PHT,0,0,0.0,0.0,14.524189,121.004066,0,13.0,0.0,225,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A21N,3f97ce6c,1,1778225283,2026-05-08 15:28:03.000 PHT,1,9,9.0,0.0025626423690205,14.523973,121.003876,0,11.1,0.0,219,1,-20.45189329436361,-24.018137330275817,0.0,-1.9000000000000004,-6.0,-0.6666666666666666,-0.2111111111111111,31.546011794510648,5.059929770573326e-05,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A21N,3f97ce6c,1,1778225291,2026-05-08 15:28:11.000 PHT,2,17,8.0,0.0048405466970387,14.523743,121.003937,0,11.1,0.0,171,1,-13.885766352718656,-49.59300578396416,0.0,0.0,-48.0,-6.0,0.0,26.404319745064686,9.295140370888846e-05,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A21N,3f97ce6c,1,1778225300,2026-05-08 15:28:20.000 PHT,3,26,9.0,0.0074031890660592,14.523582,121.004143,0,13.0,0.0,137,1,8.288406188430935,-67.49541370161673,0.0,1.9000000000000004,-34.0,-3.7777777777777777,0.2111111111111111,28.49897108342882,0.0001386632969127,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A21N,3f97ce6c,1,1778225476,2026-05-08 15:31:16.000 PHT,4,202,176.0,0.0575170842824601,14.523333,121.004379,0,37.0,0.0,135,1,33.69185191309295,-95.18298867996162,0.0,24.0,-2.0,-0.0113636363636363,0.1363636363636363,37.57576874705918,0.0001989342282031,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A21N,3f97ce6c,1,1778225484,2026-05-08 15:31:24.000 PHT,5,210,8.0,0.0597949886104783,14.522168,121.005585,0,120.4,0.0,135,1,163.50817202716837,-224.72525715178173,0.0,83.4,0.0,0.0,10.425,183.39443413181544,0.0004930959634696,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A21N,3f97ce6c,1,1778225491,2026-05-08 15:31:31.000 PHT,6,217,7.0,0.0617881548974943,14.520309,121.007538,69,177.8,0.3,135,2,373.7345352004177,-431.43691130594505,69.0,57.400000000000006,0.0,0.0,8.200000000000001,294.83036922593067,0.0009659991539689,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,1
A21N,3f97ce6c,1,1778225498,2026-05-08 15:31:38.000 PHT,7,224,7.0,0.0637813211845102,14.517641,121.010262,76,242.6,0.7,135,2,666.9565510164824,-728.105385368942,7.0,64.79999999999998,0.0,0.0,9.257142857142854,417.12290779002353,0.0016350576177974,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,3
A21N,3f97ce6c,1,1778225507,2026-05-08 15:31:47.000 PHT,8,233,9.0,0.0663439635535307,14.513405,121.014694,107,275.9,12.0,134,2,1144.0416538436257,-1199.1277452382271,31.0,33.29999999999998,-1.0,-0.1111111111111111,3.699999999999998,670.4274021355428,0.0027104124338582,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,5
A21N,3f97ce6c,1,1778225515,2026-05-08 15:31:55.000 PHT,9,241,8.0,0.0686218678815489,14.50914,121.019089,221,274.1,15.6,135,2,1617.1531248568665,-1673.3747624343032,114.0,-1.7999999999999543,1.0,0.125,-0.2249999999999943,669.8844454413068,0.0037848963560769,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,7
A21N,3f97ce6c,1,1778225522,2026-05-08 15:32:02.000 PHT,10,248,7.0,0.0706150341685649,14.505981,121.022217,312,275.9,14.6,136,2,1953.8811075773644,-2024.6400208921068,91.0,1.7999999999999543,1.0,0.1428571428571428,0.2571428571428506,486.59320873083874,0.0045653840700403,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,9
A21N,3f97ce6c,1,1778225531,2026-05-08 15:32:11.000 PHT,11,257,9.0,0.0731776765375854,14.50158,121.026352,442,274.1,13.7,138,2,2399.02084194296,-2514.0095689996156,130.0,-1.7999999999999543,2.0,0.2222222222222222,-0.1999999999999949,661.5367995044612,0.0056264785018648,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,11
A21N,3f97ce6c,1,1778225535,2026-05-08 15:32:15.000 PHT,12,261,4.0,0.0743166287015945,14.4993,121.028381,495,270.4,12.0,139,2,2617.4500671176406,-2767.53435193223,53.0,-3.7000000000000455,1.0,0.25,-0.9250000000000114,334.64251870926216,0.0061632397425397,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,12
A21N,3f97ce6c,1,1778225537,2026-05-08 15:32:17.000 PHT,13,263,2.0,0.074886104783599,14.497996,121.029533,526,270.4,11.4,139,3,2741.4681140827315,-2912.532736556795,31.0,0.0,0.0,0.0,0.0,190.80048149145244,0.0064692806591624,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,12
A21N,3f97ce6c,1,1778225539,2026-05-08 15:32:19.000 PHT,14,265,2.0,0.0754555808656036,14.496918,121.030502,549,270.4,11.1,139,3,2845.785821734432,-3032.401033048596,23.0,0.0,0.0,0.0,0.0,158.90401793136684,0.0067241601590599,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,13
A21N,3f97ce6c,1,1778225541,2026-05-08 15:32:21.000 PHT,15,267,2.0,0.0760250569476082,14.495911,121.031357,572,268.5,10.7,139,3,2937.8316499048387,-3144.374478843722,23.0,-1.8999999999999773,0.0,0.0,-0.9499999999999886,144.9494348192372,0.0069566567311297,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,13
A21N,3f97ce6c,1,1778225544,2026-05-08 15:32:24.000 PHT,16,270,3.0,0.076879271070615,14.494675,121.032448,602,266.7,10.4,140,3,3055.2845495796173,-3281.811598012217,30.0,-1.8000000000000114,1.0,0.3333333333333333,-0.6000000000000038,180.78711235096193,0.0072466363640162,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,14
A21N,3f97ce6c,1,1778225546,2026-05-08 15:32:26.000 PHT,17,272,2.0,0.0774487471526196,14.49362,121.03334,625,266.7,9.8,140,3,3151.314671342733,-3399.1224076587905,23.0,0.0,0.0,0.0,0.0,151.60290515516226,0.0074898049959488,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,14
A21N,3f97ce6c,1,1778225554,2026-05-08 15:32:34.000 PHT,18,280,8.0,0.0797266514806378,14.489338,121.037003,693,268.5,6.8,140,3,3545.6669728414095,-3875.259741218884,68.0,1.8000000000000114,0.0,0.0,0.2250000000000014,618.2377541973549,0.0084814484525394,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,16
A21N,3f97ce6c,1,1778225561,2026-05-08 15:32:41.000 PHT,19,287,7.0,0.0817198177676537,14.485753,121.040138,747,272.2,6.5,139,3,3883.181051725654,-4273.89410385603,54.0,3.6999999999999886,-1.0,-0.1428571428571428,0.5285714285714269,522.3252335122514,0.009319249762,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,18
A21N,3f97ce6c,1,1778225569,2026-05-08 15:32:49.000 PHT,20,295,8.0,0.0839977220956719,14.481377,121.043892,808,277.8,7.2,139,3,4287.344653600697,-4760.483774958026,61.0,5.600000000000023,0.0,0.0,0.7000000000000028,632.5464728717396,0.0103338441741887,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,20
A21N,3f97ce6c,1,1778225576,2026-05-08 15:32:56.000 PHT,21,302,7.0,0.0859908883826879,14.477979,121.046837,853,283.4,7.5,139,3,4604.414820555443,-5138.324657591332,45.0,5.599999999999966,0.0,0.0,0.7999999999999952,493.25022377225224,0.0111250096336658,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,22
A21N,3f97ce6c,1,1778225585,2026-05-08 15:33:05.000 PHT,22,311,9.0,0.0885535307517084,14.473068,121.051102,922,287.1,8.1,139,3,5063.609826031819,-5684.403696618304,69.0,3.7000000000000455,0.0,0.0,0.4111111111111161,713.4840148733263,0.0122694265670018,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,24
A21N,3f97ce6c,1,1778225594,2026-05-08 15:33:14.000 PHT,23,320,9.0,0.0911161731207289,14.467831,121.055702,998,290.8,7.5,139,3,5558.883550897759,-6266.732331801151,76.0,3.6999999999999886,0.0,0.0,0.4111111111111099,764.460567944153,0.0134956090750687,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,26
A21N,3f97ce6c,1,1778225603,2026-05-08 15:33:23.000 PHT,24,329,9.0,0.0936788154897494,14.463043,121.059914,1044,305.6,4.6,139,3,6012.392168723402,-6799.13437595943,46.0,14.800000000000011,0.0,0.0,1.6444444444444457,699.3709876520578,0.0146173889387634,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,29
